Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000001,0.004904700747313443,-6.049393517620729,-9.660741406291661
1047.128548050901,0.003984385920688327,-6.062569541424093,-10.09974276018524
1096.478196143186,0.00396839700457167,-6.077371546069098,-10.56616212862534
1148.153621496884,0.003958534679423782,-6.094452285187669,-11.0417859441161
1202.264434617413,0.003889600052379261,-6.112974681970453,-11.54225686006354
1258.925411794169,0.004728416770519579,-6.131903329213283,-12.07330891729569
1318.256738556409,0.004573583059953432,-6.151618374528541,-12.6123368673412
1380.384264602885,0.00426280027092067,-6.176008563992697,-13.16817054039798
1445.43977074593,0.004508938897016321,-6.202048038627026,-13.76223513764554
1513.56124843621,0.005430267257779668,-6.230270713343583,-14.37786491287571
1584.893192461114,0.004821168102829609,-6.260080090322178,-15.01057940479942
1659.586907437563,0.004583238502342475,-6.293528753787277,-15.6750556867316
1737.800828749376,0.005233030726748667,-6.328682805095274,-16.35997983725991
1819.700858609984,0.005028115428688694,-6.367539912771605,-17.07130410769594
1905.46071796325,0.004946413455190517,-6.410865364236772,-17.81106732395724
1995.262314968881,0.005021237064363025,-6.455874320719005,-18.56696706138599
2089.296130854041,0.005664747340906449,-6.504803502276218,-19.35929200554018
2187.761623949554,0.005543543302941163,-6.558106773519873,-20.1736976213082
2290.867652767774,0.006278199856020266,-6.61610107883461,-21.01633892107596
2398.832919019493,0.005899170318399094,-6.678323305627782,-21.88607444370514
2511.886431509582,0.006322471085959661,-6.745553333130635,-22.78498881273985
2630.267991895385,0.006943585474798067,-6.81816981950682,-23.70520629072522
2754.228703338169,0.006847755240382745,-6.896518673981936,-24.64541418082269
2884.031503126609,0.006963017891944554,-6.979695331572517,-25.61782191964226
3019.951720402019,0.007192231239908165,-7.069577275205078,-26.60910461316691
3162.277660168382,0.007448037130776598,-7.166068011816426,-27.62262571233121
3311.311214825914,0.00786121037148498,-7.269020198489878,-28.66029346400382
3467.368504525317,0.008811165963618459,-7.380324350498718,-29.71117063901127
3630.780547701017,0.008370516523743389,-7.498283196864547,-30.77879240509773
3801.893963205617,0.008804370636437225,-7.622966323653563,-31.86609131621741
3981.071705534973,0.008781677413212334,-7.755667597242006,-32.97409302118312
4168.693834703359,0.01039472125335723,-7.896598477094549,-34.09390313053986
4365.158322401665,0.0101602362836732,-8.045883993047786,-35.2075251163293
4570.881896148752,0.01099068535055875,-8.204837658056571,-36.33765264067525
4786.300923226389,0.01189175764412877,-8.372735297493948,-37.46595075238993
5011.87233627273,0.01188999095246884,-8.548349579896287,-38.59626604619358
5248.074602497728,0.01090001516994623,-8.732673702409421,-39.72672827603952
5495.408738576254,0.013976157193258,-8.925868419848474,-40.84416405918665
5754.399373371578,0.01368644797858296,-9.129223744642243,-41.96047259677963
6025.59586074358,0.01430196401967613,-9.34122164227915,-43.0613144098622
6309.573444801937,0.01512625147676682,-9.561718477338388,-44.14855328995078
6606.934480075965,0.01618367665228803,-9.791525309113437,-45.22146354632923
6918.30970918937,0.008524456655901185,-10.02654330402224,-46.26512258606231
7244.359600749906,0.01717706031517723,-10.27297248328952,-47.29235407889934
7585.775750291844,0.01843778074978193,-10.52733905503652,-48.29553973513995
7943.282347242821,0.01950896706720301,-10.78785788057871,-49.25724586273416
8317.637711026719,0.0180959969213917,-11.05735775148121,-50.19028865850421
8709.635899560815,0.01580715632133685,-11.33438770776938,-51.09490249153475
9120.108393559105,0.01355469816496233,-11.61823992161562,-51.95636391289599
9549.925860214369,0.01439632001434441,-11.9099264351162,-52.78167397003364
10000,0.01873296856098049,-12.2061677293999,-53.55904069406224
10471.28548050901,0.02351972058270865,-12.50836936295441,-54.31196291552973
10964.78196143186,0.02569843101971117,-12.8172970115103,-55.00357198509821
11481.53621496883,0.02530315184072713,-13.13114830224744,-55.66709248991549
12022.64434617414,0.02662274665175558,-13.45086797315846,-56.26361933791471
12589.25411794168,0.01146579223557244,-13.7729986102816,-56.81728401591685
13182.56738556407,0.02842134930975835,-14.09859595179402,-57.33598770563673
13803.84264602886,0.02859209760421902,-14.42680873664506,-57.78599453028873
14454.39770745929,0.02311684290255241,-14.76172160343392,-58.19873647186654
15135.61248436209,0.03100526246482953,-15.09842249813353,-58.56092860350389
15848.93192461115,0.0310157428868469,-15.43848734463141,-58.87079799710413
16595.86907437562,0.03166707948705684,-15.77887978475826,-59.12452527647331
17378.00828749376,0.03244025054355791,-16.12529041259593,-59.32770023952093
18197.00858609984,0.02935122149605609,-16.46881294107791,-59.46873336531434
19054.60717963249,0.03543312574652007,-16.81200972254674,-59.57827266766012
19952.62314968881,0.03446819781389791,-17.15708349406018,-59.61527564484152
20892.96130854039,0.03684709298388582,-17.50582926645295,-59.60583418217723
21877.61623949554,0.03802854128260173,-17.85587785873207,-59.5426202293858
22908.67652767775,0.03948616809405821,-18.20148913686162,-59.42456248089178
